id,source_url,source_trust,company_name,industry_sector,raw_text_snippet,location,extracted_keywords,recommended_product,secondary_product,urgency_score,confidence_score,status,created_at
d13ee89c-2353-40e4-b34d-32a95a951e92,https://dgft.gov.in/tenders/news/signal-0,98,Jindal Ltd,Road Construction,"Notice: Jindal Ltd is initiating a bridge building in Kolkata, WB. This development indicates immediate requirement for Bitumen.","Jamshedpur, JH","tarmac, NHAI, civil works",Bitumen,LDO (Machinery fuel),4,0.95,New,2026-01-14T00:00:00
a698cfe0-edf6-4a72-a704-3c5939bb6c75,https://economictimes.indiatimes.com/news/signal-1,95,L&T Enterprises,Road Construction,"Notice: L&T Enterprises is initiating a pavement resurfacing in Nagpur, MH. This development indicates immediate requirement for Bitumen.","Kolkata, WB","tarmac, NHAI, civil works",Bitumen,LDO (Machinery fuel),6,0.95,New,2026-01-08T00:00:00
9f0bd312-40b5-4e9c-a803-ce16def32202,https://industry-news-wire.in/news/signal-2,70,Tata Enterprises,Textiles (Jute),"Notice: Tata Enterprises is initiating a jute mill modernization in Ahmedabad, GJ. This development indicates immediate requirement for JBO (Jute Batching Oil).","Nagpur, MH","fibre, hessian, batching",JBO (Jute Batching Oil),LDO (Genset fuel),7,0.81,New,2026-02-05T00:00:00
d3946603-6a51-4e2e-b881-42aa9f0c5224,https://dgft.gov.in/tenders/news/signal-3,98,UltraTech Industries,Road Construction,"Notice: UltraTech Industries is initiating a expressway construction in Nagpur, MH. This development indicates immediate requirement for Bitumen.","Ahmedabad, GJ","tarmac, NHAI, civil works",Bitumen,LDO (Machinery fuel),5,0.89,New,2026-02-03T00:00:00
c396aa99-ada7-4e18-8907-caf15c959ff2,https://industry-news-wire.in/news/signal-4,70,Adani Industries,Textiles (Jute),"Notice: Adani Industries is initiating a batching oil procurement in Nagpur, MH. This development indicates immediate requirement for JBO (Jute Batching Oil).","Nagpur, MH","fibre, hessian, batching",JBO (Jute Batching Oil),LDO (Genset fuel),4,0.76,New,2026-01-09T00:00:00
1db58d22-4c0e-4716-861f-8721f8f368c8,https://industry-news-wire.in/news/signal-5,70,L&T Ltd,Manufacturing (Steel/Glass),"Notice: L&T Ltd is initiating a boiler capacity expansion in Ahmedabad, GJ. This development indicates immediate requirement for Furnace Oil (FO).","Visakhapatnam, AP","thermal, smelting, billets",Furnace Oil (FO),LSHS (Low Sulphur fuel),5,0.8,New,2026-01-13T00:00:00
8f937a3a-29b0-40ce-97b8-aca0491afe71,https://industry-news-wire.in/news/signal-6,70,JSW Infra,Textiles (Jute),"Notice: JSW Infra is initiating a jute mill modernization in Ahmedabad, GJ. This development indicates immediate requirement for JBO (Jute Batching Oil).","Ahmedabad, GJ","fibre, hessian, batching",JBO (Jute Batching Oil),LDO (Genset fuel),7,0.92,New,2026-01-16T00:00:00
48c04ba5-fe53-4483-8f58-3e4ddf112dde,https://industry-news-wire.in/news/signal-7,70,JSW Industries,Chemical & Solvents,"Notice: JSW Industries is initiating a edible oil refinery setup in Kolkata, WB. This development indicates immediate requirement for Hexane.","Ahmedabad, GJ","extraction, purification, solvent",Hexane,Solvent 1425,5,0.92,New,2026-01-25T00:00:00
75f398b5-3b5b-42dd-a837-bfe4f1b09d38,https://industry-news-wire.in/news/signal-8,70,Jindal Industries,Power & Logistics,"Notice: Jindal Industries is initiating a port bunkering service in Jamshedpur, JH. This development indicates immediate requirement for LDO.","Kolkata, WB","genset, marine, backup",LDO,HSD (High Speed Diesel),5,0.89,New,2026-01-02T00:00:00
8bcfaaff-7a33-4cfc-a343-2890e229ff5b,https://dgft.gov.in/tenders/news/signal-9,98,Reliance Enterprises,Road Construction,"Notice: Reliance Enterprises is initiating a expressway construction in Jamshedpur, JH. This development indicates immediate requirement for Bitumen.","Kolkata, WB","tarmac, NHAI, civil works",Bitumen,LDO (Machinery fuel),6,0.87,New,2026-01-06T00:00:00
